age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,395348,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728,150230.22805243253,148110.65920346655,146040.4299541378,144022.28708032516,142054.4654588599
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,402454,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728,150230.22805243253,148110.65920346655,146040.4299541378,144022.28708032516
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,409723,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728,150230.22805243253,148110.65920346655,146040.4299541378
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,427219,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728,150230.22805243253,148110.65920346655
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,446724,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728,150230.22805243253
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,466622,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601,152400.67217241728
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,480331,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224,154621.7237184601
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,492439,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923,156900.3260087224
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507021,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218,159232.45073660923
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,514405,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513,161619.14876168218
